timestamp;dd;ff;rh;t
1136077200;171; 0.6; 90; -0.4
1136080800;268; 0.3;100; -1.8
1136084400;115; 5.2; 79;  0.9
1136088000;152; 2.1; 88; -0.6
1136091600;319; 0.7;100; -2.6
1136095200; 36; 0.1; 99; -1.7
1136098800;338; 1.0;100; -2.1
1136102400;324; 1.1;100; -2.7
1136106000;303; 0.2;100; -2.6
1136109600;124; 0.6;100; -2.6
1136113200;134; 1.4;100; -2.1
1136116800;300; 0.8;100; -2.0
1136120400; NA; 0.0;100; -1.9
1136124000;303; 0.8;100; -2.3
1136127600;314; 1.2;100; -2.5
1136131200; 15; 0.4;100; -2.5
1136134800;  6; 0.5;100; -2.1
1136138400;304; 0.3;100; -2.1
1136142000;329; 1.5;100; -1.9
1136145600;334; 1.1;100; -2.0
1136149200;340; 0.5;100; -2.1
1136152800;327; 0.6;100; -2.0
1136156400;310; 1.5;100; -2.4
1136160000;303; 0.9;100; -2.5
1136163600;313; 1.0;100; -2.5
1136167200;312; 1.5;100; -2.5
1136170800;318; 2.6;100; -2.4
1136174400;318; 2.7;100; -2.5
1136178000;318; 1.7;100; -2.5
1136181600;315; 2.4;100; -2.5
1136185200;310; 1.6;100; -2.5
1136188800;324; 1.7;100; -2.4
1136192400;307; 1.7;100; -2.1
1136196000;307; 2.0;100; -2.0
1136199600;309; 2.2;100; -1.9
1136203200;299; 2.6;100; -2.0
1136206800;319; 4.0;100; -2.2
1136210400;331; 4.8;100; -2.2
1136214000;333; 4.8;100; -2.5
1136217600;328; 2.6;100; -2.5
1136221200;326; 4.0;100; -2.9
1136224800;317; 3.1;100; -2.9
1136228400;326; 4.4;100; -3.0
1136232000;328; 6.3;100; -3.0
1136235600;326; 5.3;100; -3.0
1136239200;329; 4.5;100; -3.0
1136242800;339; 4.6;100; -2.9
1136246400;325; 4.4;100; -3.1
1136250000;329; 4.1;100; -3.0
1136253600;324; 0.7;100; -3.3
1136257200;321; 0.8;100; -3.3
1136260800;298; 0.9;100; -3.4
1136264400;312; 1.0;100; -3.4
1136268000;314; 1.6;100; -3.3
1136271600;303; 1.1;100; -3.4
1136275200;324; 1.5;100; -3.4
1136278800;293; 1.0;100; -2.9
1136282400;318; 1.5;100; -3.0
1136286000;303; 1.4;100; -2.9
1136289600;305; 1.6;100; -2.8
1136293200;302; 1.7;100; -2.6
1136296800;302; 1.9;100; -2.8
1136300400;307; 1.0;100; -3.1
1136304000;324; 1.2;100; -3.6
1136307600;298; 1.0;100; -3.6
1136311200;346; 0.9;100; -3.7
1136314800;308; 0.6;100; -3.8
1136318400;320; 1.6;100; -4.0
1136322000;303; 2.1;100; -3.9
1136325600;306; 2.1;100; -4.0
1136329200;301; 1.7;100; -4.1
1136332800;309; 1.4;100; -4.2
1136336400;295; 0.8;100; -4.3
1136340000;304; 1.4;100; -4.6
1136343600;359; 1.4;100; -5.6
1136347200;357; 1.2;100; -5.6
1136350800;343; 0.5;100; -5.7
1136354400;140; 0.7;100; -5.7
1136358000;141; 2.0;100; -5.6
1136361600;147; 2.2;100; -5.6
1136365200;142; 3.2; 96; -5.5
1136368800;116; 1.7; 95; -5.2
1136372400; NA;  NA; 98; -3.9
1136376000; NA;  NA; 98; -3.6
1136379600; NA;  NA;100; -4.6
1136383200;310; 0.6;100; -4.2
1136386800;304; 0.2;100; -4.3
1136390400;155; 1.1;100; -4.4
1136394000;128; 1.4;100; -4.6
1136397600; 94; 2.1; 90; -5.0
1136401200;101; 3.6; 90; -5.8
1136404800;117; 3.3; 93; -6.9
1136408400;124; 4.6; 91; -6.9
1136412000;130; 3.0; 97; -7.7
1136415600;131; 2.5; 96; -7.6
1136419200;132; 3.0; 99; -8.1
1136422800;122; 2.2; 95; -7.6
1136426400;120; 1.6; 98; -7.8
1136430000;338; 2.2; 99; -7.9
1136433600;335; 1.8; 99; -8.2
1136437200;317; 1.0; 98; -7.9
1136440800;308; 0.3; 99; -8.1
1136444400;326; 1.2; 99; -7.7
1136448000;324; 1.1; 95; -6.8
1136451600;325; 0.5; 97; -6.5
1136455200;295; 0.1; 94; -6.2
1136458800;313; 0.1; 95; -5.5
1136462400;331; 0.9; 89; -3.8
1136466000;310; 1.0; 95; -5.4
1136469600;188; 0.3; 87; -4.8
1136473200;350; 0.4; 90; -4.8
