timestamp;air_temp;relative_humidity;wind_speed;wind_direction;wind_gust
1325376000;23.89;25; 1.34;227; 2.68
1325379600;20.00;22; 2.68; 43; 4.02
1325383200;19.44;15; 4.02; 35; 6.70
1325386800;20.00;13; 3.58; 16; 5.81
1325390400;20.00;12; 3.58;350; 4.47
1325394000;18.89;13; 2.68;339; 4.47
1325397600;20.00;12; 4.02;336; 6.26
1325401200;20.00;11; 3.58;328; 5.81
1325404800; 0.56;85; 0.90; 45; 1.79
1325408400;21.11; 9; 3.58; 15; 7.15
1325412000;20.56; 9; 3.58; 11; 7.60
1325415600;20.56; 9; 3.58; 36; 5.81
1325419200;18.33;11; 1.79; 11; 3.58
1325422800;20.00; 9; 4.02; 30; 6.26
1325426400;19.44;10; 4.02; 28; 5.81
1325430000;18.89;11; 4.92; 28; 7.15
1325433600;20.00;11; 3.58; 64; 6.70
1325437200;22.22;11; 4.92; 63; 8.05
1325440800;23.89;11; 5.81; 56; 8.05
1325444400;26.67;10; 3.13; 60; 5.37
1325448000;26.11;12; 3.58;215; 5.37
1325451600;26.67;11; 2.23;202; 3.58
1325455200;26.67;10; 3.58; 55; 5.81
1325458800;25.56;11; 4.92; 68; 6.70
1325462400;23.33;12; 4.92; 51; 7.60
1325466000;20.56;12; 3.58; 34; 5.81
1325469600;20.00;11; 1.79; 46; 4.02
1325473200;21.11;10; 3.58; 19; 7.15
1325476800;20.56;10; 4.47; 18; 7.60
1325480400;21.67; 8; 5.37; 10; 7.60
1325484000;21.11;10; 3.13;333; 5.37
1325487600;21.67;10; 2.23;360; 4.47
1325491200;21.67;10; 5.37; 35; 8.49
1325494800;20.00;11; 4.47; 19; 7.15
1325498400;19.44;11; 2.68;  8; 6.70
1325502000;19.44;12; 2.68;  7; 5.37
1325505600;19.44;12; 2.68; 15; 4.47
1325509200;18.33;12; 2.68; 11; 4.02
1325512800;18.89;12; 4.02; 16; 7.60
1325516400;18.89;13; 4.92; 24; 8.94
1325520000;20.00;13; 4.47; 27; 8.49
1325523600;22.22;13; 4.02; 36; 6.26
1325527200;25.56;11; 1.79; 11; 2.68
1325530800;26.67;11; 1.79; 33; 4.02
1325534400;26.67;12; 4.02;243; 5.37
1325538000;26.67;10; 1.79;262; 3.58
1325541600;26.67;13; 2.68;219; 4.92
1325545200;26.11;16; 2.68;211; 4.47
1325548800;25.00;21; 1.34;256; 2.23
1325552400;18.89;30; 0.45;  3; 0.90
1325556000;16.11;34; 0.45;343; 1.34
1325559600;16.67;22; 0.45;354; 2.23
1325563200;17.78;18; 0.45;360; 1.34
1325566800;15.00;24; 0.45;350; 1.34
1325570400;15.00;23; 0.45;356; 1.34
1325574000;15.00;23; 0.90; 21; 1.34
1325577600;13.89;25; 0.90; 19; 0.90
1325581200;12.22;29; 0.90;357; 1.34
1325584800;13.89;25; 0.90;350; 1.34
1325588400;13.33;27; 0.90; 25; 1.79
1325592000;10.00;39; 1.34;  6; 2.23
1325595600;14.44;23; 1.34; 33; 1.79
1325599200;11.67;34; 0.90; 25; 1.34
1325602800;15.00;23; 0.90; 30; 1.79
1325606400;16.67;26; 0.90;357; 1.79
1325610000;21.11;24; 0.45; 60; 0.90
1325613600;25.56;15; 0.00; 22; 0.45
1325617200;26.11;11; 2.23; 89; 4.02
1325620800;25.56;12; 2.23;201; 3.13
1325624400;26.11;13; 1.34;224; 2.68
1325628000;26.11;14; 2.23;215; 3.13
1325631600;25.56;17; 2.68;214; 4.02
1325635200;24.44;18; 1.34;236; 1.79
1325638800;18.33;31; 1.79; 50; 2.23
1325642400;15.56;38; 1.34; 36; 1.79
1325646000;15.00;36; 0.90;343; 0.90
1325649600;11.67;47; 1.79; 46; 2.68
1325653200;11.11;47; 0.00; 10; 0.90
1325656800;10.00;49; 1.34; 46; 2.23
1325660400;12.22;37; 0.45; 26; 0.90
1325664000;11.11;40; 0.45; 24; 1.79
1325667600;11.67;36; 0.90;  7; 1.34
1325671200;15.00;23; 0.45;343; 1.79
1325674800;14.44;23; 0.90; 41; 4.02
1325678400;18.33;13; 1.79; 16; 3.13
1325682000;20.00;11; 2.23;346; 3.58
1325685600;20.56;10; 2.68; 30; 5.37
1325689200;21.11; 9; 4.02;  8; 8.05
1325692800;21.67;11; 4.02;  3; 6.26
1325696400;23.33;11; 4.47; 38; 8.49
1325700000;24.44;10; 7.60; 52;11.17
1325703600;25.56;10; 6.26; 54; 9.84
1325707200;25.56;10; 6.26; 58; 8.94
1325710800;26.11;11; 5.37; 57; 8.49
1325714400;25.56;10; 5.81; 65; 8.05
1325718000;25.00;10; 5.81; 61; 8.05
1325721600;23.33;11; 6.26; 59; 7.60
1325725200;21.11;11; 6.26; 46; 8.94
1325728800;19.44;12; 2.23; 58; 4.02
1325732400;18.89;12; 2.68; 50; 4.47
1325736000;21.11; 9; 2.23;313; 4.02
1325739600;21.67; 9; 4.02;  2; 6.70
1325743200;19.44;11; 0.90; 83; 2.23
1325746800;19.44;11; 1.79; 54; 7.15
1325750400;20.56; 9; 3.58; 12; 8.05
1325754000;18.89;11; 3.13; 25; 6.70
1325757600;18.89;11; 4.02; 27; 6.26
1325761200;20.00;10; 2.68; 13; 4.92
1325764800;17.78;13; 2.68; 39; 6.26
