timestamp;dd;ff;p;rh;t
1483228800;127; 3.4;902.9; 43; -0.8
1483229400;130; 3.6;902.8; 41; -0.2
1483230000;138; 3.5;902.6; 49; -2.3
1483230600;137; 4.2;902.6; 47; -1.8
1483231200;118; 3.2;902.5; 40; -0.5
1483231800;128; 3.0;902.4; 39;  0.1
1483232400;142; 3.8;902.4; 46; -1.7
1483233000;117; 3.8;902.3; 39; -0.1
1483233600;131; 3.3;902.3; 40; -0.3
1483234200;122; 3.9;902.2; 37;  0.4
1483234800;124; 3.3;902.1; 40; -0.3
1483235400;120; 3.6;902.0; 40;  0.0
1483236000;123; 3.2;901.8; 36;  0.4
1483236600;130; 2.9;901.7; 41; -0.7
1483237200;131; 3.5;901.6; 39;  0.0
1483237800;159; 3.0;901.6; 40; -0.7
1483238400;137; 2.8;901.5; 42; -1.0
1483239000;129; 2.9;901.5; 41; -0.6
1483239600;145; 2.3;901.5; 41; -0.8
1483240200;140; 2.8;901.4; 39; -0.3
1483240800;125; 3.0;901.3; 39; -0.6
1483241400;103; 2.7;901.2; 38; -0.2
1483242000;131; 2.8;901.2; 42; -0.9
1483242600;126; 3.6;901.0; 35;  0.6
1483243200;146; 3.1;900.9; 39; -0.6
1483243800;145; 3.2;900.8; 45; -1.9
1483244400;120; 3.8;900.8; 38;  0.0
1483245000;123; 4.2;900.7; 39; -0.5
1483245600;121; 4.8;900.4; 36;  0.0
1483246200;110; 5.5;900.3; 34;  0.6
1483246800;128; 3.6;900.2; 41; -0.9
1483247400;135; 4.2;900.2; 36;  0.1
1483248000;138; 3.7;900.1; 37; -0.1
1483248600;150; 3.1;900.2; 47; -2.5
1483249200;133; 3.4;900.2; 43; -1.6
1483249800;138; 3.7;900.2; 43; -1.7
1483250400;133; 5.2;900.2; 38; -0.6
1483251000;134; 4.6;900.2; 38; -0.6
1483251600;131; 4.4;900.0; 36;  0.0
1483252200;119; 4.6;900.0; 35;  0.2
1483252800;128; 4.6;900.0; 34;  0.4
1483253400;123; 3.3;900.0; 37; -0.2
1483254000;112; 4.0;899.9; 36;  0.0
1483254600;125; 4.3;899.9; 36;  0.0
1483255200;125; 3.6;899.8; 37; -0.2
1483255800;127; 4.0;899.7; 38; -0.3
1483256400;148; 3.5;899.7; 41; -1.4
1483257000;132; 3.5;899.6; 37; -0.2
1483257600;158; 3.8;899.5; 43; -1.9
1483258200;132; 3.9;899.5; 35;  0.4
1483258800;134; 3.7;899.4; 38; -0.5
1483259400;122; 3.3;899.5; 39; -0.4
1483260000;132; 3.0;899.5; 37;  0.5
1483260600;140; 3.0;899.5; 36;  1.0
1483261200;135; 3.0;899.4; 33;  1.3
1483261800;136; 1.4;899.3; 37;  0.6
1483262400;152; 1.7;899.2; 37;  1.2
1483263000;145; 1.4;899.2; 37;  1.2
1483263600;120; 3.0;899.1; 35;  1.9
1483264200;128; 3.2;899.0; 33;  2.3
1483264800;146; 1.9;898.8; 34;  2.5
1483265400;157; 1.3;898.7; 34;  3.1
1483266000;148; 1.1;898.4; 35;  2.7
1483266600;148; 1.2;898.3; 35;  3.0
1483267200;175; 1.0;898.1; 34;  3.2
1483267800;305; 0.5;897.8; 32;  3.6
1483268400;312; 0.8;897.7; 34;  3.4
1483269000;312; 0.6;897.4; 33;  3.5
1483269600;317; 1.0;897.4; 34;  3.0
1483270200;333; 0.9;897.2; 34;  3.0
1483270800;303; 1.2;897.0; 33;  3.4
1483271400;320; 0.6;896.9; 32;  3.5
1483272000;309; 0.6;896.8; 32;  3.7
1483272600;319; 0.8;896.6; 32;  3.8
1483273200;172; 0.2;896.4; 30;  4.7
1483273800;219; 0.4;896.2; 29;  5.3
1483274400;312; 0.8;896.2; 31;  4.2
1483275000;298; 0.8;896.0; 30;  4.4
1483275600;301; 1.0;895.9; 30;  4.4
1483276200;325; 1.1;895.8; 30;  4.5
1483276800;306; 0.5;895.7; 29;  4.9
1483277400;306; 0.3;895.6; 29;  5.0
1483278000;287; 0.3;895.7; 28;  5.2
1483278600;154; 1.6;895.6; 22;  5.1
1483279200;149; 1.7;895.7; 29;  4.8
1483279800;131; 1.4;895.6; 30;  4.6
1483280400;121; 1.6;895.6; 31;  4.3
1483281000;125; 1.3;895.5; 30;  4.4
1483281600;132; 2.3;895.6; 31;  4.0
1483282200;131; 2.9;895.5; 31;  4.1
1483282800;120; 2.1;895.4; 30;  4.3
1483283400;136; 2.4;895.4; 34;  3.5
1483284000;132; 2.5;895.4; 35;  3.3
1483284600;143; 1.7;895.4; 36;  2.7
1483285200;133; 1.1;895.4; 38;  1.9
1483285800;304; 0.3;895.5; 35;  2.9
1483286400; 45; 0.3;895.6; 34;  2.9
1483287000;140; 1.3;895.5; 37;  2.7
1483287600;133; 2.8;895.6; 35;  2.7
1483288200;105; 1.1;895.6; 34;  3.0
1483288800;120; 2.6;895.6; 34;  2.9
1483289400;129; 2.2;895.6; 34;  2.8
1483290000;130; 2.0;895.6; 37;  2.1
1483290600;148; 2.4;895.7; 37;  1.9
1483291200;122; 2.1;895.8; 33;  3.1
1483291800;135; 2.2;895.8; 39;  1.5
1483292400;137; 2.6;895.8; 37;  2.0
1483293000;142; 1.9;895.8; 41;  0.9
1483293600;139; 1.4;895.8; 38;  1.6
1483294200;127; 2.5;895.9; 37;  1.9
1483294800;138; 2.4;895.9; 36;  2.2
1483295400;121; 2.9;895.8; 37;  1.8
1483296000;145; 3.4;895.8; 38;  1.5
1483296600;120; 3.4;895.8; 36;  2.0
1483297200;141; 2.8;895.8; 40;  1.2
1483297800;117; 3.5;895.8; 34;  2.6
1483298400;140; 3.0;895.8; 40;  0.9
1483299000;144; 2.7;895.8; 42;  0.4
1483299600;111; 3.1;895.8; 37;  1.9
1483300200;114; 3.7;896.0; 35;  2.4
1483300800;122; 3.6;895.9; 35;  2.1
1483301400;128; 4.5;895.9; 36;  1.9
1483302000;127; 3.4;895.9; 37;  1.7
1483302600;123; 3.8;895.9; 37;  1.6
1483303200;136; 4.0;895.8; 37;  1.8
1483303800;131; 3.2;895.9; 37;  1.6
1483304400;137; 4.1;895.9; 40;  0.7
1483305000;140; 4.9;895.7; 40;  0.6
1483305600;139; 4.0;895.8; 37;  1.6
1483306200;142; 3.9;895.7; 37;  1.5
1483306800;136; 3.7;895.7; 38;  1.2
1483307400;145; 3.9;895.6; 39;  0.9
1483308000;144; 4.2;895.7; 40;  0.7
1483308600;118; 4.5;895.7; 39;  1.0
1483309200;128; 4.6;895.7; 39;  0.9
1483309800;128; 3.8;895.9; 39;  1.0
1483310400;134; 4.3;895.7; 38;  1.0
1483311000;129; 4.4;895.8; 38;  1.1
1483311600;126; 4.8;895.7; 37;  1.5
1483312200;126; 4.0;895.6; 37;  1.5
1483312800;134; 4.6;895.6; 38;  1.3
1483313400;149; 3.4;895.6; 40;  0.5
1483314000;149; 4.3;895.5; 42;  0.0
1483314600;159; 3.3;895.4; 42;  0.0
1483315200;134; 4.5;895.4; 39;  0.8
1483315800;151; 3.7;895.4; 40;  0.3
1483316400;147; 3.7;895.4; 38;  1.0
1483317000;134; 3.9;895.4; 42;  0.0
1483317600;129; 3.4;895.4; 44; -0.7
1483318200;130; 3.6;895.4; 39;  0.7
1483318800;113; 3.5;895.4; 40;  0.5
1483319400;112; 3.6;895.4; 37;  1.1
1483320000;146; 3.7;895.4; 46; -1.0
1483320600;128; 4.0;895.3; 42; -0.2
1483321200;120; 3.7;895.4; 42; -0.1
1483321800;128; 3.9;895.4; 39;  0.7
1483322400;129; 3.1;895.4; 39;  0.6
1483323000;142; 3.5;895.3; 44; -0.7
1483323600;134; 4.5;895.3; 42; -0.2
1483324200;126; 4.0;895.3; 38;  0.8
1483324800;133; 3.8;895.2; 40;  0.4
1483325400;134; 4.7;895.1; 46; -1.1
1483326000;126; 4.9;895.0; 41;  0.0
1483326600;143; 3.9;895.0; 39;  0.6
1483327200;135; 4.9;895.0; 40;  0.3
1483327800;138; 5.8;894.9; 39;  0.6
1483328400;131; 5.8;894.8; 39;  0.5
1483329000;145; 4.6;894.8; 46; -1.2
1483329600;124; 3.6;894.7; 42; -0.3
1483330200;143; 5.0;894.7; 47; -1.6
1483330800;137; 4.4;894.7; 49; -2.0
1483331400;126; 4.5;894.5; 46; -1.2
1483332000;129; 3.4;894.6; 42; -0.4
1483332600;129; 4.8;894.4; 43; -0.6
1483333200;134; 5.7;894.4; 41; -0.1
1483333800;133; 4.5;894.4; 41; -0.1
1483334400;142; 3.4;894.5; 40;  0.3
1483335000;125; 4.3;894.6; 44; -0.7
1483335600;136; 3.0;894.6; 46; -1.3
1483336200;131; 5.0;894.4; 43; -0.6
1483336800;130; 4.4;894.5; 43; -0.5
1483337400;113; 4.0;894.4; 42; -0.5
1483338000;138; 4.0;894.6; 42; -0.4
1483338600;115; 2.0;894.6; 44; -0.9
1483339200;126; 2.6;894.6; 48; -1.9
1483339800;122; 3.4;894.6; 46; -1.4
1483340400;144; 2.2;894.7; 45; -1.2
1483341000;138; 3.5;894.7; 47; -1.7
1483341600;134; 4.3;894.7; 44; -0.9
1483342200;144; 2.4;894.8; 47; -1.6
1483342800;124; 1.9;894.7; 44; -1.2
1483343400;111; 2.3;894.7; 50; -2.2
1483344000;127; 2.9;894.6; 47; -1.6
1483344600;131; 4.0;894.7; 44; -0.7
1483345200;142; 2.3;894.7; 45; -1.1
1483345800;112; 2.8;894.7; 44; -0.6
1483346400;147; 1.9;894.7; 41;  0.2
1483347000;128; 2.2;894.5; 41; -0.1
1483347600;137; 1.7;894.5; 40;  0.6
1483348200;151; 1.6;894.5; 42;  0.3
1483348800;293; 0.4;894.6; 42;  0.3
1483349400;161; 1.4;894.5; 43;  0.0
1483350000;144; 1.1;894.4; 41;  0.7
1483350600;153; 0.9;894.3; 42;  0.7
1483351200;301; 0.3;894.1; 41;  1.0
1483351800; 27; 0.5;894.0; 42;  0.7
1483352400;186; 1.5;893.7; 39;  1.6
1483353000;316; 0.9;893.6; 41;  0.5
1483353600;297; 0.5;893.3; 41;  0.9
1483354200;326; 1.0;893.1; 40;  0.9
1483354800;305; 1.3;893.0; 40;  0.8
1483355400;296; 2.3;893.0; 41;  0.4
1483356000;299; 1.9;892.7; 43;  0.2
1483356600;288; 2.3;892.7; 44;  0.1
1483357200;291; 1.1;892.5; 43;  0.2
1483357800;296; 1.8;892.5; 43;  0.1
1483358400;301; 1.5;892.5; 42;  0.2
1483359000;285; 1.7;892.5; 41;  0.4
1483359600;283; 2.4;892.4; 41;  0.4
1483360200;300; 2.6;892.5; 40;  0.4
1483360800;291; 2.2;892.5; 39;  0.6
1483361400;265; 1.4;892.5; 38;  1.0
1483362000;286; 3.0;892.5; 39;  0.8
1483362600;295; 3.2;892.6; 39;  0.6
1483363200;297; 2.2;892.6; 38;  0.6
1483363800;285; 1.9;892.6; 38;  0.5
1483364400;294; 2.2;892.7; 38;  0.5
1483365000;313; 2.2;892.8; 39;  0.4
1483365600;319; 2.9;892.7; 39;  0.3
1483366200;306; 3.0;892.7; 41;  0.1
1483366800;297; 2.2;892.9; 42; -0.3
1483367400;316; 1.8;893.0; 43; -0.6
1483368000;319; 2.0;893.0; 43; -0.5
1483368600;325; 3.0;892.9; 41; -0.2
1483369200;321; 2.5;893.1; 43; -0.5
1483369800;312; 0.7;893.1; 44; -0.4
1483370400;341; 1.7;893.0; 43; -0.3
1483371000;347; 1.4;893.0; 44; -0.5
1483371600;338; 3.1;893.0; 45;  0.0
1483372200;314; 1.0;893.1; 46; -0.2
1483372800;332; 2.2;893.2; 45; -0.3
1483373400;316; 2.3;893.3; 45; -0.1
1483374000;302; 0.8;893.5; 45; -0.3
1483374600;306; 1.0;893.5; 46; -0.7
1483375200;320; 1.7;893.6; 47; -1.0
1483375800;341; 1.5;893.4; 50; -1.3
1483376400;330; 1.8;893.4; 56; -1.0
1483377000;338; 1.3;893.4; 58; -1.1
1483377600;261; 0.5;893.5; 52; -1.6
1483378200;261; 0.5;893.5; 57; -1.7
1483378800;278; 0.2;893.8; 59; -1.9
1483379400;289; 0.2;893.9; 62; -2.1
1483380000; 10; 1.2;894.0; 62; -1.8
1483380600;288; 0.5;894.0; 65; -1.8
1483381200;348; 1.2;894.2; 66; -1.9
1483381800;217; 0.3;894.2; 68; -1.9
1483382400;305; 1.1;894.3; 71; -1.8
1483383000;320; 1.8;894.5; 69; -1.9
1483383600;313; 1.7;894.6; 73; -1.9
1483384200;306; 1.2;894.6; 76; -1.8
1483384800;298; 1.2;894.6; 75; -2.0
1483385400;315; 1.8;894.7; 77; -1.9
1483386000;294; 2.0;894.8; 77; -2.0
1483386600;307; 1.4;894.9; 79; -2.1
1483387200;311; 1.8;895.0; 79; -2.2
1483387800;294; 2.2;895.1; 81; -2.3
1483388400;309; 2.4;895.2; 83; -2.5
1483389000;292; 1.9;895.2; 87; -2.6
1483389600;307; 1.9;895.2; 88; -2.6
1483390200;309; 2.3;895.3; 90; -2.6
1483390800;314; 2.2;895.3; 92; -2.7
1483391400;330; 2.3;895.3; 93; -2.7
1483392000;308; 2.1;895.3; 95; -2.8
1483392600;316; 2.4;895.4; 96; -2.9
1483393200;298; 2.3;895.5; 97; -2.9
1483393800;301; 3.1;895.6; 98; -3.0
1483394400;298; 2.8;895.7; 98; -3.1
1483395000;343; 2.6;895.8; 99; -3.2
1483395600;301; 3.0;896.0; 99; -3.2
1483396200;312; 2.4;896.0; 99; -3.2
1483396800;303; 3.0;896.0; 99; -3.3
1483397400;307; 2.0;896.1; 99; -3.3
1483398000;286; 2.6;896.2; 99; -3.3
1483398600;283; 2.5;896.2; 99; -3.4
1483399200;309; 2.9;896.3; 98; -3.4
1483399800;305; 2.6;896.3; 98; -3.4
1483400400;294; 2.9;896.4; 98; -3.5
1483401000;299; 2.5;896.5; 98; -3.5
1483401600;291; 3.1;896.6; 98; -3.6
1483402200;308; 2.7;896.5; 98; -3.6
1483402800;318; 2.4;896.6; 98; -3.7
1483403400;308; 2.9;896.7; 98; -3.8
1483404000;297; 1.6;896.7; 98; -3.8
1483404600;294; 1.8;896.8; 98; -3.9
1483405200;303; 1.7;897.0; 98; -4.0
1483405800;274; 1.1;897.1; 98; -4.1
1483406400;318; 2.0;897.2; 98; -4.2
1483407000;293; 1.2;897.4; 98; -4.2
1483407600;304; 1.8;897.4; 98; -4.3
1483408200;294; 1.8;897.6; 98; -4.3
1483408800;300; 2.2;897.6; 97; -4.4
1483409400;303; 1.7;897.9; 97; -4.3
1483410000;309; 1.6;898.0; 97; -4.4
