timestamp;dd;ff;p;rh;t
1483228800;350; 2.6;789.0; 35; -2.0
1483229400;353; 2.2;788.8; 33; -1.8
1483230000;358; 1.9;788.8; 33; -1.6
1483230600; 11; 1.7;788.7; 31; -1.2
1483231200; 27; 0.9;788.6; 31; -1.3
1483231800; 34; 0.5;788.4; 30; -1.2
1483232400;283; 0.0;788.1; 27; -1.1
1483233000;183; 0.7;787.9; 28; -1.2
1483233600;183; 0.5;788.0; 28; -1.0
1483234200;187; 1.1;787.9; 29; -1.1
1483234800;182; 1.5;787.9; 30; -1.4
1483235400;201; 2.6;787.9; 25; -0.8
1483236000;224; 1.8;787.9; 25; -1.1
1483236600;243; 2.0;787.8; 24; -1.1
1483237200;206; 4.3;787.7; 25; -1.7
1483237800;199; 4.2;787.6; 27; -1.9
1483238400;205; 3.5;787.6; 26; -1.7
1483239000;217; 2.6;787.5; 25; -1.4
1483239600;222; 2.9;787.6; 24; -1.2
1483240200;188; 3.0;787.4; 25; -1.5
1483240800;203; 2.7;787.2; 24; -1.4
1483241400;230; 2.3;787.2; 25; -1.5
1483242000;238; 1.4;787.1; 25; -1.3
1483242600;242; 0.9;787.0; 25; -1.3
1483243200;242; 1.0;786.8; 24; -1.2
1483243800;230; 1.3;786.8; 23; -1.0
1483244400;309; 1.2;786.7; 27; -1.7
1483245000;332; 0.8;786.6; 27; -1.4
1483245600;333; 0.8;786.4; 27; -1.4
1483246200;336; 0.4;786.3; 27; -1.5
1483246800;283; 0.0;786.0; 27; -1.9
1483247400;283; 0.0;785.6; 26; -1.6
1483248000;205; 0.6;785.5; 26; -1.4
1483248600;177; 1.6;785.8; 25; -1.4
1483249200;199; 2.1;785.9; 25; -1.3
1483249800;208; 2.2;786.1; 25; -1.4
1483250400;201; 2.3;786.1; 26; -1.4
1483251000;201; 2.8;786.1; 26; -1.3
1483251600;204; 2.2;786.1; 25; -1.3
1483252200;201; 2.0;786.1; 25; -1.3
1483252800;220; 1.7;786.1; 26; -1.3
1483253400;200; 2.2;786.1; 26; -1.4
1483254000;213; 2.1;785.9; 26; -1.3
1483254600;220; 2.6;786.0; 27; -1.3
1483255200;206; 3.1;786.1; 26; -1.3
1483255800;207; 2.4;786.1; 28; -1.3
1483256400;220; 2.0;786.7; 28; -1.2
1483257000;199; 2.7;787.5; 28; -0.8
1483257600;197; 3.0;787.9; 28; -0.8
1483258200;199; 2.1;788.2; 28; -0.5
1483258800;195; 2.2;788.6; 29; -0.2
1483259400;195; 2.0;788.5; 28;  0.0
1483260000;184; 4.0;788.5; 27;  0.3
1483260600;175; 5.2;788.4; 27;  0.6
1483261200;179; 4.3;788.3; 27;  0.8
1483261800;181; 6.0;787.9; 27;  1.2
1483262400;180; 4.8;787.8; 26;  1.3
1483263000;175; 5.3;787.6; 26;  1.4
1483263600;177; 5.1;787.5; 25;  1.4
1483264200;169; 3.7;787.5; 26;  1.2
1483264800;167; 5.3;787.4; 26;  1.6
