dd ff rh t date_time
    176 13.1 100  -7.1 20060101050000
    184 10.0 100  -6.9 20060101060000
    188  7.2 100  -6.6 20060101070000
    194  5.8 100  -6.6 20060101080000
    292  0.4 100  -6.4 20060101090000
missing  0.0 100  -6.3 20060101100000
    354  4.4 100  -7.2 20060101110000
    354  4.2 100  -6.9 20060101120000
    358  3.3 100  -7.0 20060101130000
    355  4.0 100  -7.4 20060101140000
    345  4.9 100  -7.8 20060101150000
    352  4.1 100  -8.0 20060101160000
    345  5.9 100  -8.4 20060101170000
    349  3.2 100  -8.3 20060101180000
    350  5.4 100  -8.6 20060101190000
    353  5.2 100  -8.6 20060101200000
    347  5.7 100  -8.7 20060101210000
    350  8.0 100  -8.7 20060101220000
    348  6.7 100  -8.7 20060101230000
    346  7.0 100  -8.9 20060102000000
    350  8.4 100  -9.1 20060102010000
    350  9.1 100  -9.1 20060102020000
    352  8.3 100  -9.1 20060102030000
    352  9.0 100  -9.1 20060102040000
    353  9.0 100  -9.1 20060102050000
    353 10.0 100  -9.2 20060102060000
    350 10.1 100  -9.4 20060102070000
    354 10.3 100  -9.4 20060102080000
    356 10.2 100  -9.2 20060102090000
    355 10.7 100  -9.1 20060102100000
    354  9.3 100  -8.9 20060102110000
    358  9.9 100  -8.8 20060102120000
    359  9.0 100  -8.9 20060102130000
    357 10.8 100  -9.2 20060102140000
      0 12.3 100  -9.6 20060102150000
    352 11.5 100  -9.9 20060102160000
    351 11.5 100 -10.1 20060102170000
    351  9.6 100 -10.2 20060102180000
    352 10.9 100 -10.2 20060102190000
    351 10.3 100 -10.3 20060102200000
    355 10.3 100 -10.3 20060102210000
    349 11.5 100 -10.4 20060102220000
    353 11.4 100 -10.4 20060102230000
    353  9.6 100 -10.5 20060103000000
    352 10.4 100 -10.4 20060103010000
    356 10.3 100 -10.4 20060103020000
    358 10.8 100 -10.4 20060103030000
    355  9.9 100 -10.4 20060103040000
    353  9.7 100 -10.5 20060103050000
    349  8.9 100 -10.6 20060103060000
    352  8.6 100 -10.8 20060103070000
    351  9.2 100 -10.8 20060103080000
    343  7.7 100 -10.5 20060103090000
    341  7.4 100 -10.3 20060103100000
    350  9.0 100  -9.8 20060103130000
    354  9.5 100 -10.2 20060103140000
    350  8.6 100 -10.6 20060103150000
    352  8.8  99 -11.0 20060103160000
    348  7.2  99 -11.2 20060103170000
    348  9.1  99 -11.3 20060103180000
    351  7.1  99 -11.2 20060103190000
    354  8.7  99 -11.2 20060103200000
    352  8.9  99 -11.3 20060103210000
    359  8.3  99 -11.4 20060103220000
    357  6.8  99 -11.6 20060103230000
    358  6.5  99 -11.7 20060104000000
    357  5.0  99 -11.8 20060104010000
    354  5.3  99 -12.0 20060104020000
    351  5.0  99 -12.2 20060104030000
    354  4.1  99 -12.3 20060104040000
    343  4.2  99 -12.5 20060104050000
    343  3.3  99 -12.7 20060104060000
    343  3.9  99 -12.8 20060104070000
    339  3.5  99 -12.5 20060104080000
    338  2.7  99 -11.4 20060104090000
    334  2.0 100 -10.4 20060104100000
    330  1.7 100  -9.0 20060104110000
    345  2.5 100  -7.7 20060104120000
    328  1.8 100  -6.7 20060104130000
    337  2.4 100  -9.0 20060104140000
    336  2.6  99 -10.9 20060104150000
    338  1.7  99 -12.2 20060104160000
missing  0.0  99 -13.0 20060104170000
    182  1.6  99 -12.4 20060104180000
    182  6.1  99 -11.7 20060104190000
    188  7.9  99 -11.4 20060104200000
    182 12.8  99 -11.6 20060104210000
    188 13.4  99 -11.8 20060104220000
    190 13.5  99 -11.8 20060104230000
    187 15.3  99 -12.0 20060105000000
    187 16.5  99 -12.2 20060105010000
