dd ff rh t date_time
    171     0.6  90 -0.4 20060101010000
    268     0.3 100 -1.8 20060101020000
missing missing  79  0.9 20060101030000
    152     2.1  88 -0.6 20060101040000
    319     0.7 100 -2.6 20060101050000
     36     0.1  99 -1.7 20060101060000
    338     1.0 100 -2.1 20060101070000
    324     1.1 100 -2.7 20060101080000
    303     0.2 100 -2.6 20060101090000
    124     0.6 100 -2.6 20060101100000
    134     1.4 100 -2.1 20060101110000
    300     0.8 100 -2.0 20060101120000
missing     0.0 100 -1.9 20060101130000
    303     0.8 100 -2.3 20060101140000
    314     1.2 100 -2.5 20060101150000
     15     0.4 100 -2.5 20060101160000
      6     0.5 100 -2.1 20060101170000
    304     0.3 100 -2.1 20060101180000
    329     1.5 100 -1.9 20060101190000
    334     1.1 100 -2.0 20060101200000
    340     0.5 100 -2.1 20060101210000
    327     0.6 100 -2.0 20060101220000
    310     1.5 100 -2.4 20060101230000
    303     0.9 100 -2.5 20060102000000
    313     1.0 100 -2.5 20060102010000
    312     1.5 100 -2.5 20060102020000
    318     2.6 100 -2.4 20060102030000
    318     2.7 100 -2.5 20060102040000
    318     1.7 100 -2.5 20060102050000
    315     2.4 100 -2.5 20060102060000
    310     1.6 100 -2.5 20060102070000
    324     1.7 100 -2.4 20060102080000
    307     1.7 100 -2.1 20060102090000
    307     2.0 100 -2.0 20060102100000
    309     2.2 100 -1.9 20060102110000
    299     2.6 100 -2.0 20060102120000
    319     4.0 100 -2.2 20060102130000
    331     4.8 100 -2.2 20060102140000
    333     4.8 100 -2.5 20060102150000
    328     2.6 100 -2.5 20060102160000
    326     4.0 100 -2.9 20060102170000
    317     3.1 100 -2.9 20060102180000
    326     4.4 100 -3.0 20060102190000
    328     6.3 100 -3.0 20060102200000
    326     5.3 100 -3.0 20060102210000
    329     4.5 100 -3.0 20060102220000
    339     4.6 100 -2.9 20060102230000
    325     4.4 100 -3.1 20060103000000
    329     4.1 100 -3.0 20060103010000
    324     0.7 100 -3.3 20060103020000
    321     0.8 100 -3.3 20060103030000
    298     0.9 100 -3.4 20060103040000
    312     1.0 100 -3.4 20060103050000
    314     1.6 100 -3.3 20060103060000
    303     1.1 100 -3.4 20060103070000
    324     1.5 100 -3.4 20060103080000
    293     1.0 100 -2.9 20060103090000
    318     1.5 100 -3.0 20060103100000
    303     1.4 100 -2.9 20060103110000
    305     1.6 100 -2.8 20060103120000
    302     1.7 100 -2.6 20060103130000
    302     1.9 100 -2.8 20060103140000
    307     1.0 100 -3.1 20060103150000
    324     1.2 100 -3.6 20060103160000
    298     1.0 100 -3.6 20060103170000
    346     0.9 100 -3.7 20060103180000
    308     0.6 100 -3.8 20060103190000
    320     1.6 100 -4.0 20060103200000
    303     2.1 100 -3.9 20060103210000
    306     2.1 100 -4.0 20060103220000
    301     1.7 100 -4.1 20060103230000
    309     1.4 100 -4.2 20060104000000
    295     0.8 100 -4.3 20060104010000
    304     1.4 100 -4.6 20060104020000
    359     1.4 100 -5.6 20060104030000
    357     1.2 100 -5.6 20060104040000
    343     0.5 100 -5.7 20060104050000
    140     0.7 100 -5.7 20060104060000
    141     2.0 100 -5.6 20060104070000
    147     2.2 100 -5.6 20060104080000
    142     3.2  96 -5.5 20060104090000
    116     1.7  95 -5.2 20060104100000
missing missing  98 -3.9 20060104110000
missing missing  98 -3.6 20060104120000
missing missing 100 -4.6 20060104130000
    310     0.6 100 -4.2 20060104140000
    304     0.2 100 -4.3 20060104150000
    155     1.1 100 -4.4 20060104160000
    128     1.4 100 -4.6 20060104170000
     94     2.1  90 -5.0 20060104180000
    101     3.6  90 -5.8 20060104190000
    117     3.3  93 -6.9 20060104200000
    124     4.6  91 -6.9 20060104210000
    130     3.0  97 -7.7 20060104220000
    131     2.5  96 -7.6 20060104230000
    132     3.0  99 -8.1 20060105000000
    122     2.2  95 -7.6 20060105010000
    120     1.6  98 -7.8 20060105020000
    338     2.2  99 -7.9 20060105030000
    335     1.8  99 -8.2 20060105040000
