"date_time","dd","ff","rh","t"
"2006-01-01 05:00:00",176,13.1,100,-7.1
"2006-01-01 06:00:00",184,10,100,-6.9
"2006-01-01 07:00:00",188,7.2,100,-6.6
"2006-01-01 08:00:00",194,5.8,100,-6.6
"2006-01-01 09:00:00",292,0.4,100,-6.4
"2006-01-01 10:00:00",NA,0,100,-6.3
"2006-01-01 11:00:00",354,4.4,100,-7.2
"2006-01-01 12:00:00",354,4.2,100,-6.9
"2006-01-01 13:00:00",358,3.3,100,-7
"2006-01-01 14:00:00",355,4,100,-7.4
"2006-01-01 15:00:00",345,4.9,100,-7.8
"2006-01-01 16:00:00",352,4.1,100,-8
"2006-01-01 17:00:00",345,5.9,100,-8.4
"2006-01-01 18:00:00",349,3.2,100,-8.3
"2006-01-01 19:00:00",350,5.4,100,-8.6
"2006-01-01 20:00:00",353,5.2,100,-8.6
"2006-01-01 21:00:00",347,5.7,100,-8.7
"2006-01-01 22:00:00",350,8,100,-8.7
"2006-01-01 23:00:00",348,6.7,100,-8.7
"2006-01-02 00:00:00",346,7,100,-8.9
"2006-01-02 01:00:00",350,8.4,100,-9.1
"2006-01-02 02:00:00",350,9.1,100,-9.1
"2006-01-02 03:00:00",352,8.3,100,-9.1
"2006-01-02 04:00:00",352,9,100,-9.1
"2006-01-02 05:00:00",353,9,100,-9.1
"2006-01-02 06:00:00",353,10,100,-9.2
"2006-01-02 07:00:00",350,10.1,100,-9.4
"2006-01-02 08:00:00",354,10.3,100,-9.4
"2006-01-02 09:00:00",356,10.2,100,-9.2
"2006-01-02 10:00:00",355,10.7,100,-9.1
"2006-01-02 11:00:00",354,9.3,100,-8.9
"2006-01-02 12:00:00",358,9.9,100,-8.8
"2006-01-02 13:00:00",359,9,100,-8.9
"2006-01-02 14:00:00",357,10.8,100,-9.2
"2006-01-02 15:00:00",0,12.3,100,-9.6
"2006-01-02 16:00:00",352,11.5,100,-9.9
"2006-01-02 17:00:00",351,11.5,100,-10.1
"2006-01-02 18:00:00",351,9.6,100,-10.2
"2006-01-02 19:00:00",352,10.9,100,-10.2
"2006-01-02 20:00:00",351,10.3,100,-10.3
"2006-01-02 21:00:00",355,10.3,100,-10.3
"2006-01-02 22:00:00",349,11.5,100,-10.4
"2006-01-02 23:00:00",353,11.4,100,-10.4
"2006-01-03 00:00:00",353,9.6,100,-10.5
"2006-01-03 01:00:00",352,10.4,100,-10.4
"2006-01-03 02:00:00",356,10.3,100,-10.4
"2006-01-03 03:00:00",358,10.8,100,-10.4
"2006-01-03 04:00:00",355,9.9,100,-10.4
"2006-01-03 05:00:00",353,9.7,100,-10.5
"2006-01-03 06:00:00",349,8.9,100,-10.6
"2006-01-03 07:00:00",352,8.6,100,-10.8
"2006-01-03 08:00:00",351,9.2,100,-10.8
"2006-01-03 09:00:00",343,7.7,100,-10.5
"2006-01-03 10:00:00",341,7.4,100,-10.3
"2006-01-03 13:00:00",350,9,100,-9.8
"2006-01-03 14:00:00",354,9.5,100,-10.2
"2006-01-03 15:00:00",350,8.6,100,-10.6
"2006-01-03 16:00:00",352,8.8,99,-11
"2006-01-03 17:00:00",348,7.2,99,-11.2
"2006-01-03 18:00:00",348,9.1,99,-11.3
"2006-01-03 19:00:00",351,7.1,99,-11.2
"2006-01-03 20:00:00",354,8.7,99,-11.2
"2006-01-03 21:00:00",352,8.9,99,-11.3
"2006-01-03 22:00:00",359,8.3,99,-11.4
"2006-01-03 23:00:00",357,6.8,99,-11.6
"2006-01-04 00:00:00",358,6.5,99,-11.7
"2006-01-04 01:00:00",357,5,99,-11.8
"2006-01-04 02:00:00",354,5.3,99,-12
"2006-01-04 03:00:00",351,5,99,-12.2
"2006-01-04 04:00:00",354,4.1,99,-12.3
"2006-01-04 05:00:00",343,4.2,99,-12.5
"2006-01-04 06:00:00",343,3.3,99,-12.7
"2006-01-04 07:00:00",343,3.9,99,-12.8
"2006-01-04 08:00:00",339,3.5,99,-12.5
"2006-01-04 09:00:00",338,2.7,99,-11.4
"2006-01-04 10:00:00",334,2,100,-10.4
"2006-01-04 11:00:00",330,1.7,100,-9
"2006-01-04 12:00:00",345,2.5,100,-7.7
"2006-01-04 13:00:00",328,1.8,100,-6.7
"2006-01-04 14:00:00",337,2.4,100,-9
"2006-01-04 15:00:00",336,2.6,99,-10.9
"2006-01-04 16:00:00",338,1.7,99,-12.2
"2006-01-04 17:00:00",NA,0,99,-13
"2006-01-04 18:00:00",182,1.6,99,-12.4
"2006-01-04 19:00:00",182,6.1,99,-11.7
"2006-01-04 20:00:00",188,7.9,99,-11.4
"2006-01-04 21:00:00",182,12.8,99,-11.6
"2006-01-04 22:00:00",188,13.4,99,-11.8
"2006-01-04 23:00:00",190,13.5,99,-11.8
"2006-01-05 00:00:00",187,15.3,99,-12
"2006-01-05 01:00:00",187,16.5,99,-12.2
